"Make & Model
",Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","0–1/4 mile, sec.","0–1/4 mile, mph",Braking 60–0 mph (feet),Power to Weight,"Rating Category
Overall Rating",,,,dimensions,15
Monster City,9/99,"$10,995",L-2,6,68.2,54.6,462,42.2,122,3.84,11.45,12.20,105.11,117.5,1:6.77,Open Standard,,,,,
Monster 900ie,10/02,"$11,095",L-2,6,75.3,54.3,443,34.9,134,4.07,9.98,11.65,111.65,122.4,1:5.88,Open Standard,,,,,
900SS,1/99,"$10,995",L-2,6,74.7,55.3,451,45.0,139,3.64,9.49,11.74,112.72,114.4,1:6.04,Open Sportbike,,,,,
Monster S4,8/01,"$12,995",L-2,6,97.4,63.4,455,47.3,147,3.42,7.82,10.89,119.42,109.8,1:4.67,Open Standard,,,,,
ST2,12/97,"$12,499",L-2,6,71.9,53.9,520,38.9,133,3.85,10.35,12.02,109.63,111.7,1:7.23,Open Sport-Tourer,,,,,
ST4,12/98,"$14,495",L-2,6,99.3,59.9,524,36.1,153,3.23,7.39,11.02,124.02,110.0,1:5.28,Open Sportbike,,,,,
Multistrada,8/03,"$11,495",L-2,6,82.3,62.3,484,43.6,136,3.58,8.92,11.60,113.77,118.6,1:5.88,Open Standard,,,,,
Multistrada 1000S,7/05,"$13,495",L-2,6,80.2,61.0,504,38.2,135,3.84,9.62,11.88,113.10,127.7,1:6.28,Open Standard,,,,,
ST3,10/05,"$11,995",L-2,6,99.0,67.8,518,36.4,140,3.37,7.92,11.19,120.28,113.6,1:5.23,Open Sport-Tourer,,,,,
996,10/00,"$16,495",L-2,6,108.4,68.3,484,42.8,160,3.11,6.42,10.58,129.26,115.6,1:4.46,Open Sportbike,,,,,
ST4s,8/04,"$15,995",L-2,6,108.3,68.5,531,50.4,142,3.29,7.90,11.24,118.19,110.3,1:4.90,Open Sport-Tourer,,,,,
GT1000,10/06,$9995,L-2,6,75.4,58.0,459,47.7,130,3.93,9.92,11.95,110.95,125.4,1:6.09,Open Standard,,,,,
Sport 1000 Biposto,11/09,"$11,995",L-2,6,77.97,59.78,452.5,49.9,136.5,3.44,9.22,11.64,136.50,121.4,1:5.80,Open Sportbike,,,,,
999,2/03,"$17,695",L-2,6,112.2,68.2,477,44.9,172,2.90,6.20,10.36,132.89,111.6,1:4.25,Open Sportbike,,,,,
1098S,1/08,"$19,995",L-2,6,138.0,77.9,434,35.9,173,3.01,5.97,10.16,139.58,114.9,1:3.14,Open Sportbike,,,,,
Hypermotard 1100S,11/07,"$13,995",L-2,6,77.7,64.9,432,36.1,130,3.48,10.00,11.76,108.48,114.1,1:5.56,Open Standard,,,,,
